viewCount,likeCount,dislikeCount,favoriteCount,commentCount
10833,48,0,10833,3
16156,71,11,16156,7
-1,-1,-1,-1,-1
4894327,4192,624,4894327,1567
-1,-1,-1,-1,-1
11882303,14790,4916,11882303,1406
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
49961700,299836,56441,49961700,25772
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
-1,-1,-1,-1,-1
49961700,299836,56441,49961700,25772
-1,-1,-1,-1,-1
281264563,3460903,213339,281264563,183448
240196357,2169534,210682,240196357,112959
16924,1347,26,16924,141
70247,197,54,70247,40
37751,2772,95,37751,313
944697,5351,728,944697,247
40755315,779415,12014,40755315,22747
1102653,88213,2336,1102653,4490
173443750,659318,138771,173443750,71786
830961403,5881987,578666,830961403,373308
19136245,341014,55197,19136245,27890
1037092755,6945508,456856,1037092755,280819
-1,-1,-1,-1,-1
11886,228,9,11886,22
120083448,1469388,35739,120083448,78451
1670354,15668,1110,1670354,660
240371,31445,334,240371,6035
17093314,341571,16095,17093314,11650
54641826,1328696,131460,54641826,99121
4121,39,4,4121,6
5891,136,5,5891,12
56283,574,47,56283,53
4215,422,3,4215,71
56678,2539,147,56678,208
427952052,1582494,109815,427952052,66418
799556,6855,321,799556,706
482955968,980509,81239,482955968,28256
358710647,2459094,161756,358710647,85170
7349408,107239,3660,7349408,12628
29387331,201918,14846,29387331,5373
35461,1976,194,35461,468
7569,62,0,7569,4
2690497,41040,5294,2690497,2745
122816933,1434489,140783,122816933,118649
6218,53,5,6218,9
620577413,4610586,283078,620577413,251982
36523752,317482,11745,36523752,9651
5535608,147305,5755,5535608,7902
40354000,568145,29594,40354000,23773
17475538,145751,6134,17475538,5917
19431259,366050,8112,19431259,9623
3354325,73020,1958,3354325,8346
35600232,244272,34099,35600232,10718
2097351,3024,734,2097351,955
31737749,211082,12097,31737749,4453
170856466,1424863,120514,170856466,93496
500435,14367,467,500435,1200
262553,2853,254,262553,376
65099726,326592,9891,65099726,3543
205696,3441,155,205696,282
224028,16808,214,224028,1205
6528163,83874,4701,6528163,2289
16834686,140164,6670,16834686,6172
93385825,1785688,109460,93385825,135619
2454285372,15238385,635221,2454285372,569933
46204,1312,29,46204,102
16424,152,11,16424,30
8053879,165244,2410,8053879,2067
36987,1470,39,36987,143
8079467,17050,1020,8079467,1114
253630,4939,220,253630,101
25560257,110941,8834,25560257,9563
1613464364,12389718,772958,1613464364,466831
-1,-1,-1,-1,-1
839076,7123,388,839076,211
187631,5563,112,187631,996
8314,62,4,8314,0
356067707,2537113,102522,356067707,75717
94966,1693,22,94966,12
9245757,52801,3337,9245757,1659
60910,724,39,60910,1
106308850,1179903,79490,106308850,69297
20760,364,79,20760,135
623,120,1,623,1
378596178,2276951,139915,378596178,76550
134220767,926601,58494,134220767,30993
33294653,612741,34230,33294653,36468
10383,223,8,10383,21
876897,8448,468,876897,97
2192082,48076,1880,2192082,1807
66359655,730970,38725,66359655,33292
6984,238,17,6984,29
11712,586,9,11712,69
1046122,22027,518,1046122,2125
336305,4096,123,336305,37
2894,273,0,2894,19
67010,513,72,67010,109
3601314,20637,705,3601314,944
4395,168,0,4395,13
171487206,1570768,83015,171487206,72044
3024407,45621,1483,3024407,3503
73556552,624247,38350,73556552,28375
291459,11042,181,291459,659
10219657,29810,1345,10219657,3212
38455417,1281408,37544,38455417,60840
36355336,133754,6849,36355336,6225
171567,1101,469,171567,389
3128487,27284,563,3128487,1766
-1,-1,-1,-1,-1
7548,549,5,7548,97
5189577,12367,482,5189577,427
201742689,685488,34109,201742689,26842
206216,2228,119,206216,260
8554,200,4,8554,14
7998,139,71,7998,15
4395995,17954,689,4395995,1564
202887,19322,228,202887,2254
69207,5318,183,69207,871
-1,-1,-1,-1,-1
661749,24349,2870,661749,11984
-1,-1,-1,-1,-1
18319,467,30,18319,64
56170287,430018,54075,56170287,22165
31815,1006,58,31815,179
36049196,1016469,22915,36049196,33868
557312,10353,289,557312,675
123869088,864459,46209,123869088,21551
32703,367,26,32703,129
-1,-1,-1,-1,-1
29566427,252986,10960,29566427,7177
3841130,37964,1635,3841130,912
19123,498,26,19123,78
3253065,43363,2767,3253065,40183
6128084,91215,1591,6128084,2332
7960,45,5,7960,21
787482,24873,412,787482,758
133355,1623,255,133355,1099
1410647,11909,775,1410647,113
603,10,0,603,0
36914701,279563,15445,36914701,12958
2730471,39039,1207,2730471,1595
12396619,187534,4421,12396619,3767
115924,3376,101,115924,482
3097148,17725,1329,3097148,1639
4911626,13414,3760,4911626,955
2791315,3980,230,2791315,185
572667,4104,215,572667,158
3729756,93958,1925,3729756,2421
12140109,249847,49018,12140109,46541
7268,192,14,7268,52
4843,96,12,4843,16
46758689,821751,23370,46758689,23840
561763196,4425754,303765,561763196,245854
29366246,209944,9387,29366246,5334
3989,184,5,3989,30
76625862,791076,44843,76625862,34593
185090,3534,170,185090,94
1452963,20033,1326,1452963,2710
12134855,256913,9757,12134855,7915
